name,gender,country_code,country,nationality_long,disciplines,events,birth_date,hobbies,education,family,lang,coach
GUILLET Louise,Female,FRA,France,France,['Water Polo'],['Women'],1986-01-31,,,"Father, Charles",French,National: Theodoros Lorantos (GRE)
HERTZKA Orsolya,Female,FRA,France,France,['Water Polo'],['Women'],1998-10-31,,"Studies Business at Emlyon Business School (Ecully, FRA).</p><p>Graduated in 2023 with a degree in International Business from Lille Catholic University (FRA).</p><p>Graduated in 2022 with a degree in Marketing from Long Beach State University (USA)","Older brother, Oliver. Younger brother, Dominik","English, French",National: Theodoros Lorantos (GRE)
HEURTAUX Valentine,Female,FRA,France,France,['Water Polo'],['Women'],2005-01-04,,,,French,National: Theodoros Lorantos (GRE)
MARTINEAUD PERET Pasiphae Lalou St,Female,FRA,France,France,['Water Polo'],['Women'],2005-08-12,,,,French,National: Theodoros Lorantos (GRE)
RADOSAVLJEVIC Camille,Female,FRA,France,France,['Water Polo'],['Women'],2002-12-12,,Studies Business at University of Hawaiʻi at Mānoa (USA),"Mother, Sophie. Father, Ivan",French,National: Theodoros Lorantos (GRE)
RASPO Tiziana,Female,FRA,France,France,['Water Polo'],['Women'],2005-10-03,,,"Brother, Luca",French,National: Theodoros Lorantos (GRE)
RYCRAW Mia,Female,FRA,France,France,['Water Polo'],['Women'],1995-03-19,,"Graduated in 2023 with a degree in Languages, Literature, and Culture from Lille Catholic University (FRA).</p><p>Graduated in 2017 with a degree in Interdisciplinary Studies from Arizona State University (Tempe, USA)","Mother, Eugenia","English, French",National: Theodoros Lorantos (GRE)
VERNOUX Ema,Female,FRA,France,France,['Water Polo'],['Women'],2004-03-25,,,"Father, Yann. Younger sister, Lily",French,National: Theodoros Lorantos (GRE)
BJORCH Emil,Male,FRA,France,France,['Water Polo'],['Men'],1987-08-29,,,,French,National: Florian Bruzzo (FRA)
BODEGAS Michael Alexandre,Male,FRA,France,France,['Water Polo'],['Men'],1987-05-03,,Studied Sport Psychology at University of Barcelona (ESP),"Partner, Clio. Son, Mathis","English, French, Italian",National: Florian Bruzzo (FRA)
BOUET Alexandre,Male,FRA,France,France,['Water Polo'],['Men'],2000-12-05,,Studied at EPF School of Engineering,,French,National: Florian Bruzzo (FRA)
CROUSILLAT Ugo,Male,FRA,France,France,['Water Polo'],['Men'],1990-10-27,,,"Father, Marc (deceased)",French,National: Florian Bruzzo (FRA)
DUBOIS Clement,Male,FRA,France,France,['Water Polo'],['Men'],1995-03-10,Travelling,"Studied Mathematics at Lille 1 University (FRA) and Pierre and Marie Curie University (Paris, FRA)",,French,National: Florian Bruzzo (FRA)
FONTANI Hugo,Male,FRA,France,France,['Water Polo'],['Men'],1994-12-22,,,,French,National: Florian Bruzzo (FRA)
KHASZ Enzo,Male,FRA,France,France,['Water Polo'],['Men'],1993-08-13,Reading,"Graduated in 2014 with a degree in Sports Training from Universite Nice-Sophia-Antipolis, FRA",,French,National: Florian Bruzzo (FRA)
MARZOUKI Mehdi,Male,FRA,France,France,['Water Polo'],['Men'],1987-05-26,,,"Older brother, Mounir",French,National: Florian Bruzzo (FRA)
MARION VERNOUX Romain,Male,FRA,France,France,['Water Polo'],['Men'],2000-01-02,,Studies at Aix-Marseille University (FRA),,French,National: Florian Bruzzo (FRA)
